participantId,trialNumber,conditionId,conditionLabel,values,markedA,markedB,trueValueA,trueValueB,truePercentage,response,rawError,log2Error,reactionTimeMs,timestamp,
Esther,1,multicolor,Bar Chart (Multi-Color),23;91;60;40;25,1,2,91,60,66,65,1,0.169925001,16445,2026-02-19T03:23:01.331Z,
Esther,2,bw,Bar Chart (B&W),94;42;34;14;68,1,2,42,34,81,85,4,2.044394119,8843,2026-02-19T03:23:10.181Z,
Esther,3,bw,Bar Chart (B&W),58;37;57;85;64,1,2,37,57,65,70,5,2.357552005,7638,2026-02-19T03:23:17.821Z,
Esther,4,gradient,Bar Chart (Gradient),13;52;21;87;2,1,2,52,21,40,45,5,2.357552005,4287,2026-02-19T03:23:22.113Z,
Esther,5,gradient,Bar Chart (Gradient),55;59;11;99;6,1,2,59,11,19,20,1,0.169925001,9148,2026-02-19T03:23:31.263Z,
Esther,6,bw,Bar Chart (B&W),20;76;19;18;4,1,2,76,19,25,20,5,2.357552005,8134,2026-02-19T03:23:39.398Z,
Esther,7,gradient,Bar Chart (Gradient),90;58;77;86;73,1,2,58,77,75,80,5,2.357552005,14381,2026-02-19T03:23:53.781Z,
Esther,8,bw,Bar Chart (B&W),28;47;80;4;59,1,2,47,80,59,60,1,0.169925001,9065,2026-02-19T03:24:02.847Z,
Esther,9,gradient,Bar Chart (Gradient),67;33;63;12;6,1,2,33,63,52,50,2,1.087462841,4017,2026-02-19T03:24:06.865Z,
Esther,10,bw,Bar Chart (B&W),48;92;59;43;97,1,2,92,59,64,60,4,2.044394119,3981,2026-02-19T03:24:10.847Z,
Esther,11,bw,Bar Chart (B&W),58;28;72;57;8,1,2,28,72,39,50,11,3.475733431,4100,2026-02-19T03:24:14.949Z,
Esther,12,gradient,Bar Chart (Gradient),25;30;83;89;27,1,2,30,83,36,40,4,2.044394119,10695,2026-02-19T03:24:25.646Z,
Esther,13,multicolor,Bar Chart (Multi-Color),82;90;54;21;36,1,2,90,54,60,55,5,2.357552005,7917,2026-02-19T03:24:33.563Z,
Esther,14,bw,Bar Chart (B&W),95;59;18;44;45,1,2,59,18,31,30,1,0.169925001,4651,2026-02-19T03:24:38.215Z,
Esther,15,gradient,Bar Chart (Gradient),57;65;4;62;22,1,2,65,4,6,10,4,2.044394119,9113,2026-02-19T03:24:47.330Z,
Esther,16,gradient,Bar Chart (Gradient),28;38;33;79;93,1,2,38,33,87,95,8,3.022367813,5997,2026-02-19T03:24:53.329Z,
Esther,17,gradient,Bar Chart (Gradient),44;76;27;29;18,1,2,76,27,36,40,4,2.044394119,3965,2026-02-19T03:24:57.296Z,
Esther,18,bw,Bar Chart (B&W),61;55;88;95;23,1,2,55,88,63,70,7,2.832890014,8116,2026-02-19T03:25:05.413Z,
Esther,19,multicolor,Bar Chart (Multi-Color),29;59;49;94;39,1,2,59,49,83,85,2,1.087462841,4619,2026-02-19T03:25:10.033Z,
Esther,20,gradient,Bar Chart (Gradient),79;38;59;42;98,1,2,38,59,64,90,26,4.707359132,2479,2026-02-19T03:25:12.514Z,
Esther,21,multicolor,Bar Chart (Multi-Color),44;78;89;48;30,1,2,78,89,88,95,7,2.832890014,3798,2026-02-19T03:25:16.313Z,
Esther,22,multicolor,Bar Chart (Multi-Color),3;63;37;21;5,1,2,63,37,59,65,6,2.614709844,5370,2026-02-19T03:25:21.685Z,
Esther,23,multicolor,Bar Chart (Multi-Color),36;93;50;62;82,1,2,93,50,54,55,1,0.169925001,3548,2026-02-19T03:25:25.234Z,
Esther,24,multicolor,Bar Chart (Multi-Color),96;85;75;26;91,1,2,85,75,88,90,2,1.087462841,3547,2026-02-19T03:25:28.783Z,
Esther,25,bw,Bar Chart (B&W),35;96;63;70;46,1,2,96,63,66,67,1,0.169925001,14664,2026-02-19T03:25:43.448Z,
Esther,26,bw,Bar Chart (B&W),91;90;40;31;57,1,2,90,40,44,45,1,0.169925001,6997,2026-02-19T03:25:50.447Z,
Esther,27,multicolor,Bar Chart (Multi-Color),92;26;31;62;63,1,2,26,31,84,90,6,2.614709844,2781,2026-02-19T03:25:53.229Z,
Esther,28,bw,Bar Chart (B&W),2;54;70;79;34,1,2,54,70,77,75,2,1.087462841,14851,2026-02-19T03:26:08.081Z,
Esther,29,multicolor,Bar Chart (Multi-Color),30;90;80;87;17,1,2,90,80,89,85,4,2.044394119,5604,2026-02-19T03:26:13.686Z,
Esther,30,gradient,Bar Chart (Gradient),66;43;42;77;6,1,2,43,42,98,97,1,0.169925001,4243,2026-02-19T03:26:17.930Z,
Esther,31,gradient,Bar Chart (Gradient),4;73;99;42;93,1,2,73,99,74,75,1,0.169925001,17449,2026-02-19T03:26:35.380Z,
Esther,32,multicolor,Bar Chart (Multi-Color),16;29;83;54;60,1,2,29,83,35,33,2,1.087462841,5465,2026-02-19T03:26:40.847Z,
Esther,33,multicolor,Bar Chart (Multi-Color),62;72;93;57;39,1,2,72,93,77,80,3,1.64385619,6903,2026-02-19T03:26:47.751Z,
Esther,34,bw,Bar Chart (B&W),43;33;86;20;47,1,2,33,86,38,43,5,2.357552005,9128,2026-02-19T03:26:56.880Z,
Esther,35,gradient,Bar Chart (Gradient),85;99;32;37;18,1,2,99,32,32,35,3,1.64385619,5383,2026-02-19T03:27:02.264Z,
Esther,36,multicolor,Bar Chart (Multi-Color),71;88;39;85;30,1,2,88,39,44,49,5,2.357552005,5215,2026-02-19T03:27:07.481Z,
Esther,37,multicolor,Bar Chart (Multi-Color),16;80;93;59;10,1,2,80,93,86,90,4,2.044394119,5826,2026-02-19T03:27:13.309Z,
